Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)	"Homicide rate per 100,000 population - Both sexes - All ages"	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score
Mexico	MEX	2020	18327.99	125998296	29.185314	70.1	6.3168
Spain	ESP	2017	39528.926	46584168	0.65902215	83	6.3099
Jamaica	JAM	2020	9198.148	2820438	47.262203	71.9	6.3092
Panama	PAN	2021	29037.945	4351264	12.639997	76.2	6.3091
Panama	PAN	2019	31543.605	4232538	11.34073	77.8	6.3048
Malta	MLT	2014	37285.24	446449	1.3439626	82.7	6.302
Brazil	BRA	2018	14619.591	210166592	26.636013	75.1	6.2998
Uruguay	URY	2018	23184.625	3427044	12.284647	77.6	6.2933
Slovakia	SVK	2019	31973.46	5453932	1.3934921	77.7	6.2806
Guatemala	GTM	2011	7503.675	14833458	38.298565	71.2	6.276682
Suriname	SUR	2015	18768.795	575478	5.9081626	70.8	6.269
Suriname	SUR	2014	19629.223	569687	5.617169	69.8	6.269
Trinidad and Tobago	TTO	2011	27062.385	1420021	24.788383	73.3	6.262625
Guatemala	GTM	2021	8926.7	17608484	19.990364	69.2	6.2622
Singapore	SGP	2018	98336.95	5814543	0.15478449	83.5	6.262
Colombia	COL	2017	14334.915	48351668	25.434488	76.6	6.2601
Uzbekistan	UZB	2019	7348.147	32976946	1.2008388	71.3	6.2576
Lithuania	LTU	2020	37166.41	2820269	3.5812218	75.1	6.2554
El Salvador	SLV	2018	8812.201	6276340	53.311302	72.6	6.2531
Argentina	ARG	2011	24647.629	41520736	6.0475802	76.1	6.242357
Chile	CHL	2019	24816.611	19039484	3.9444344	80.3	6.2285
Bahrain	BHR	2019	49768.977	1494195	0.26770383	80	6.2273
Cyprus	CYP	2020	39471.582	1237540	1.212085	81.4	6.2235
Italy	ITA	2018	42045.92	59877432	0.5995582	83.2	6.2234
Cyprus	CYP	2021	41701.703	1244193	1.2859793	81.2	6.2209
Bahrain	BHR	2015	48453.727	1362157	0.22024135	79.4	6.218
Lithuania	LTU	2019	37184.453	2849083	3.299307	76.2	6.2155
Jamaica	JAM	2011	9823.773	2746169	41.25747	73.1	6.207882
Colombia	COL	2011	12578.016	45308896	35.59345	75.3	6.202322
Bahrain	BHR	2018	48937.66	1487346	0.33617073	79.9	6.1994
Slovakia	SVK	2018	31229.863	5446746	1.2300924	77.3	6.1976
Trinidad and Tobago	TTO	2019	25306.617	1519960	35.461575	74.2	6.1919
Trinidad and Tobago	TTO	2018	25534.84	1504707	34.358803	73.8	6.1919
Trinidad and Tobago	TTO	2017	26213.924	1478616	33.477455	74.2	6.1919
Estonia	EST	2020	35883.266	1329449	3.1592155	78.3	6.1888
Poland	POL	2019	33159.75	38493600	0.6572521	77.9	6.1863
Poland	POL	2018	31739.258	38521464	0.70869595	77.6	6.1817
Latvia	LVA	2021	32081.455	1873926	3.0417538	73.6	6.1804
Panama	PAN	2020	25510.273	4294391	11.64308	76.7	6.1796
Uzbekistan	UZB	2020	7344.22	33526662	1.3392328	70.3	6.1788
Serbia	SRB	2021	19831.297	7296771	1.0552616	74.2	6.178
Uzbekistan	UZB	2018	7082.9253	32449578	1.4607278	71.1	6.1741
Slovakia	SVK	2017	30061.55	5439418	1.470746	77.2	6.1734
Chile	CHL	2020	23017.69	19300318	4.797849	79.4	6.1719
Chile	CHL	2021	25449.13	19493184	3.6320386	78.9	6.1718
Trinidad and Tobago	TTO	2016	27682.445	1469334	31.510971	74.3	6.168
Trinidad and Tobago	TTO	2015	29876.98	1460180	28.763645	74.5	6.168
Trinidad and Tobago	TTO	2014	30301.936	1450663	27.918308	74.2	6.168
El Salvador	SLV	2017	8617.922	6266661	63.223526	72.3	6.1668
Poland	POL	2020	32546.826	38428368	0.692197	76.9	6.1661
Nicaragua	NIC	2021	5638.748	6850546	11.006432	73.8	6.1646
Colombia	COL	2019	14616.135	50187404	25.753473	76.8	6.1634
Cyprus	CYP	2019	41746.918	1228840	1.2206669	81.4	6.159
Kazakhstan	KAZ	2020	25361.508	18979250	3.192962	70	6.1518
Lithuania	LTU	2018	35446.707	2876128	3.1987455	75.7	6.149
Nicaragua	NIC	2017	5915.3755	6480534	6.650689	73.6	6.141
Romania	ROU	2020	29062.473	19442040	1.4453217	75.3	6.14
Nicaragua	NIC	2019	5348.9873	6663919	7.7281795	74.1	6.1371
Greece	GRC	2011	30318.404	11004730	1.6720091	80.5	6.132965
El Salvador	SLV	2014	8100.975	6209528	63.144913	71.7	6.13
Chile	CHL	2011	22323.723	17173568	3.7033644	79.1	6.12797
Mexico	MEX	2021	19086.105	126705136	28.175653	70.2	6.1276
Croatia	HRV	2021	31635.824	4060139	0.81278074	77.6	6.1252
Colombia	COL	2018	14426.435	49276968	26.231325	76.7	6.1248
Romania	ROU	2019	30006.336	19524212	1.2497303	76.5	6.1237
Guatemala	GTM	2014	7939.3745	15713744	33.429344	72	6.123
Poland	POL	2017	29958.121	38532816	0.74481976	77.7	6.123
Poland	POL	2021	34915.523	38307724	0.71265	76.5	6.1228
El Salvador	SLV	2021	9086.047	6314165	18.165499	70.7	6.12
Slovenia	SVN	2018	37995.715	2105931	0.42736584	81.4	6.1177
Kuwait	KWT	2020	43922.63	4360451	0.25226787	76.9	6.1061
Bahrain	BHR	2017	48929.445	1456844	0.411852	79.7	6.1051
Nicaragua	NIC	2018	5636.6396	6572234	10.376991	73.8	6.105
Kuwait	KWT	2019	47314.797	4441105	0.36027116	79.7	6.1021
Mauritius	MUS	2019	23681.58	1296284	2.082885	75.1	6.1013
Kosovo	OWID_KOS	2018	10755.168	1709966	2.5731566	78.7	6.1
Slovakia	SVK	2016	29248.885	5431205	1.1047275	77.2	6.098
Uzbekistan	UZB	2017	6840.71	31945680	1.8500153	71	6.0961
Bahrain	BHR	2016	48486.305	1409668	0.28375617	79.6	6.087
Argentina	ARG	2018	22747.242	44413592	5.367726	77	6.0863
Hungary	HUN	2021	33593.152	9709784	0.7724166	74.5	6.0859
Malaysia	MYS	2016	24859.799	31526414	1.446406	75.3	6.084
Venezuela	VEN	2015		30529722	51.274635	73	6.084
Kuwait	KWT	2017	50007.3	4124904	1.1151773	79.8	6.0834
Slovakia	SVK	2015	28728.156	5424449	0.8848832	76.6	6.078
Serbia	SRB	2020	18265.967	7358010	1.1416138	75.4	6.0779
Mauritius	MUS	2021	20967.947	1298922	2.6175704	73.6	6.0711
Nicaragua	NIC	2016	5734.355	6389237	7.0900507	73.3	6.071
Romania	ROU	2018	28741.227	19606778	1.275069	76.2	6.0697
El Salvador	SLV	2015	8266.723	6231072	106.8196	71.8	6.068
Uzbekistan	UZB	2021	7734.8325	34081452	1.4054567	70.9	6.0627
El Salvador	SLV	2020	8267.251	6292734	21.310303	71.1	6.0605
Japan	JPN	2011	38149.617	128007256	0.34529293	82.7	6.059098
Mauritius	MUS	2020	20224.223	1297830	2.6968145	74.3	6.049
Cyprus	CYP	2018	40099.836	1218834	1.2306874	81.4	6.0458
Japan	JPN	2021	40784.383	124612528	0.22870894	84.8	6.0389
Latvia	LVA	2020	30568.502	1897057	3.6899357	75.5	6.032
Ecuador	ECU	2018	11608.419	17015672	5.841674	77.1	6.0276
Honduras	HND	2021	5572.177	10278346	38.245457	70.1	6.0221
Estonia	EST	2019	36153.434	1327039	1.9592499	78.7	6.0218
Kuwait	KWT	2018	48943.008	4317190	0.85703987	79.7	6.0207
Portugal	PRT	2021	33674.527	10290109	0.7968822	81	6.0163
Colombia	COL	2020	13387.701	50930656	24.242764	74.8	6.0124
Ecuador	ECU	2016	11587.825	16439588	5.8334804	76.8	6.008
